Obs        Subject        Gender        Dosage        Task                Valence        Recall 
1      A                M                A                F                Neg                 8 
2      A                M                A                F                Neu                 9 
3      A                M                A                F                Pos                 5 
4      A                M                A                C                Neg                 7 
5      A                M                A                C                Neu                 9 
6      A                M                A                C                Pos                10 
7      B                M                A                F                Neg                12 
8      B                M                A                F                Neu                13 
9      B                M                A                F                Pos                14 
10       B                M                A                C                Neg                16 
11       B                M                A                C                Neu                13 
12       B                M                A                C                Pos                14 
13       C                M                A                F                Neg                13 
14       C                M                A                F                Neu                13 
15       C                M                A                F                Pos                12 
16       C                M                A                C                Neg                15 
17       C                M                A                C                Neu                16 
18       C                M                A                C                Pos                14 
19       D                M                B                F                Neg                12 
20       D                M                B                F                Neu                14 
21       D                M                B                F                Pos                15 
22       D                M                B                C                Neg                17 
23       D                M                B                C                Neu                18 
24       D                M                B                C                Pos                20 
25       E                M                B                F                Neg                 6 
26       E                M                B                F                Neu                 7 
27       E                M                B                F                Pos                 9 
28       E                M                B                C                Neg                 4 
29       E                M                B                C                Neu                 9 
30       E                M                B                C                Pos                10 
31       F                M                B                F                Neg                 7 
32       F                M                B                F                Neu                 5 
33       F                M                B                F                Pos                 9 
34       F                M                B                C                Neg                 9 
35       F                M                B                C                Neu                 8 
36       F                M                B                C                Pos                 7 
37       G                M                C                F                Neg                23 
38       G                M                C                F                Neu                22 
39       G                M                C                F                Pos                23 
40       G                M                C                C                Neg                25 
41       G                M                C                C                Neu                23 
42       G                M                C                C                Pos                22 
43       H                M                C                F                Neg                14 
44       H                M                C                F                Neu                14 
45       H                M                C                F                Pos                13 
46       H                M                C                C                Neg                15 
47       H                M                C                C                Neu                17 
48       H                M                C                C                Pos                17 
49       I                M                C                F                Neg                15 
50       I                M                C                F                Neu                16 
51       I                M                C                F                Pos                16 
52       I                M                C                C                Neg                14 
53       I                M                C                C                Neu                17 
54       I                M                C                C                Pos                18 
55       J                F                A                F                Neg                12 
56       J                F                A                F                Neu                11 
57       J                F                A                F                Pos                13 
58       J                F                A                C                Neg                15 
59       J                F                A                C                Neu                14 
60       J                F                A                C                Pos                15 
61       K                F                A                F                Neg                22 
62       K                F                A                F                Neu                20 
63       K                F                A                F                Pos                23 
64       K                F                A                C                Neg                25 
65       K                F                A                C                Neu                22 
66       K                F                A                C                Pos                21 
67       L                F                A                F                Neg                14 
68       L                F                A                F                Neu                15 
69       L                F                A                F                Pos                13 
70       L                F                A                C                Neg                12 
71       L                F                A                C                Neu                16 
72       L                F                A                C                Pos                15 
73       M                F                B                F                Neg                15 
74       M                F                B                F                Neu                14 
75       M                F                B                F                Pos                16 
76       M                F                B                C                Neg                15 
77       M                F                B                C                Neu                18 
78       M                F                B                C                Pos                21 
79       N                F                B                F                Neg                12 
80       N                F                B                F                Neu                10 
81       N                F                B                F                Pos                14 
82       N                F                B                C                Neg                15 
83       N                F                B                C                Neu                14 
84       N                F                B                C                Pos                17 
85       O                F                B                F                Neg                18 
86       O                F                B                F                Neu                17 
87       O                F                B                F                Pos                19 
88       O                F                B                C                Neg                22 
89       O                F                B                C                Neu                22 
90       O                F                B                C                Pos                21 
91       P                F                C                F                Neg                22 
92       P                F                C                F                Neu                22 
93       P                F                C                F                Pos                24 
94       P                F                C                C                Neg                23 
95       P                F                C                C                Neu                25 
96       P                F                C                C                Pos                25 
97       Q                F                C                F                Neg                18 
98       Q                F                C                F                Neu                17 
99       Q                F                C                F                Pos                18 
100        Q                F                C                C                Neg                17 
101        Q                F                C                C                Neu                19 
102        Q                F                C                C                Pos                19 
103        R                F                C                F                Neg                19 
104        R                F                C                F                Neu                17 
105        R                F                C                F                Pos                19 
106        R                F                C                C                Neg                22 
107        R                F                C                C                Neu                21 
108        R                F                C                C                Pos                20 
