Observation                Gender                Dosage                Alertness 
1                               m                        a                         8 
2                               m                        a                        12 
3                               m                        a                        13 
4                               m                        a                        12 
5                               m                        b                         6 
6                               m                        b                         7 
7                               m                        b                        23 
8                               m                        b                        14 
9                               f                        a                        15 
10                                f                        a                        12 
11                                f                        a                        22 
12                                f                        a                        14 
13                                f                        b                        15 
14                                f                        b                        12 
15                                f                        b                        18 
16                                f                        b                        22 
